SEQ,M_MOA_CODE,M_POS_REGCODE,P_CODE,P_NAME,P_CAT_CODE,P_CAT,P_MCAT_CODE,P_MCAT,P_CAT_SEQNO,P_CAT_SUB,P_UNIT,P_BARCODE,P_LIST_PRICE,P_PROVIDER,P_SALE_PRICE,P_SALE_TITLE,P_MTIME,P_TAX_TYPE,P_INV_TYPE,P_REG_COUNT,P_IMG,IS_CUSTOM_IMAGE,P_TAGS,P_STATUS,P_MIN_STOCK,P_MIN_STOCK_DEFAULT,P_USE_MAXQTY_BRGN,P_MAXQTY_BRGN,P_MAXQTY_BRGN_DEFAULT,C_TIME,C_ID,M_TIME,M_ID,P_USE_MAXQTY_PD,P_VALUE_MAXQTY_PD,P_USE_MINQTY_PD,P_VALUE_MINQTY_PD
"3122300","M000000872","10875","787","2080소프트칫솔","10","비식품",\N,\N,"228","구강용품","2단미세모","8801046843291","2780",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080소프트터치칫솔-미세모+부드러운모_8801046843291_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080소프트터치칫솔-미세모+부드러운모_8801046843291_2.png""}],""main"":""0"",""priority"":""2""}]","N","#787#8801046843291#2080소프트칫솔#비식품#구강용품# 2단미세모","A","5","5","N","5","5","2025-02-11 09:11:13","UA60498e774f77e","2025-02-11 09:11:13",\N,"N",\N,"N",\N
"3122286","M000000872","10875","790","2080칫솔탄력모","10","비식품",\N,\N,"228","구강용품","4+2","8801046845639","4980",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080칫솔(탄력모)-4+2_8801046845639_1.png""}],""main"":""1"",""priority"":""1""}]","N","#790#8801046845639#2080칫솔탄력모#비식품#구강용품# 4+2","A","5","5","N","5","5","2025-02-11 09:10:23","UA60498e774f77e","2025-02-11 09:10:23",\N,"N",\N,"N",\N
"3122285","M000000872","10875","818","2080칫솔미세모","10","비식품",\N,\N,"228","구강용품",\N,"8801046886687","1700",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080덴탈크리닉-오리지날-미세모_8801046886687_1.png""}],""main"":""1"",""priority"":""1""},{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_2080오리지날-칫솔-1입_8801046886687_2.png""}],""main"":""0"",""priority"":""2""}]","N","#818#8801046886687#2080칫솔미세모#비식품#구강용품# NULL","A","5","5","N","5","5","2025-02-11 09:10:20","UA60498e774f77e","2025-02-11 09:10:20",\N,"N",\N,"N",\N
"3122284","M000000872","10875","819","2080칫솔미세모","10","비식품",\N,\N,"228","구강용품","4+2","8801046886700","4980",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경2080칫솔(미세모)-4+2-0_8801046886700.png""}],""main"":""1"",""priority"":""1""}]","N","#819#8801046886700#2080칫솔미세모#비식품#구강용품# 4+2","A","5","5","N","5","5","2025-02-11 09:10:17","UA60498e774f77e","2025-02-11 09:10:17",\N,"N",\N,"N",\N
"3122295","M000000872","10875","833","2080청은차(진)기획","10","비식품",\N,\N,"228","구강용품",\N,"8801046900901","6500",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-청은차(진)-150gx3입_8801046900901_1.png""}],""main"":""1"",""priority"":""1""}]","N","#833#8801046900901#2080청은차(진)기획#비식품#구강용품# NULL","A","5","5","N","5","5","2025-02-11 09:10:50","UA60498e774f77e","2025-02-11 09:10:50",\N,"N",\N,"N",\N
"3122290","M000000872","10875","846","2080토탈케어부드러운모","10","비식품",\N,\N,"228","구강용품","4입","8801046985786","3480",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-토탈케어-칫솔-부드러운모-4입_8801046985786.png""}],""main"":""1"",""priority"":""1""}]","N","#846#8801046985786#2080토탈케어부드러운모#비식품#구강용품# 4입","A","5","5","N","5","5","2025-02-11 09:10:36","UA60498e774f77e","2025-02-11 09:10:36",\N,"N",\N,"N",\N
"3122289","M000000872","10875","847","2080토탈케어미세모애경","10","비식품",\N,\N,"228","구강용품","4입","8801046985793","3480",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080-토탈케어-칫솔-미세모-4입_8801046985793.png""}],""main"":""1"",""priority"":""1""}]","N","#847#8801046985793#2080토탈케어미세모애경#비식품#구강용품# 4입","A","5","5","N","5","5","2025-02-11 09:10:33","UA60498e774f77e","2025-02-11 09:10:33",\N,"N",\N,"N",\N
"3122279","M000000872","10875","852","2080치과놀이칫솔","10","비식품",\N,\N,"228","구강용품","2단계","8801046991169","3000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080치과놀이2단계-0_8801046991169.png""}],""main"":""1"",""priority"":""1""}]","N","#852#8801046991169#2080치과놀이칫솔#비식품#구강용품# 2단계","A","5","5","N","5","5","2025-02-11 09:10:02","UA60498e774f77e","2025-02-11 09:10:02",\N,"N",\N,"N",\N
"3122281","M000000872","10875","853","2080치과놀이칫솔","10","비식품",\N,\N,"228","구강용품","3단계","8801046991176","5000",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/2080_2080치과놀이3단계-0_8801046991176.png""}],""main"":""1"",""priority"":""1""}]","N","#853#8801046991176#2080치과놀이칫솔#비식품#구강용품# 3단계","A","5","5","N","5","5","2025-02-11 09:10:07","UA60498e774f77e","2025-02-11 09:10:07",\N,"N",\N,"N",\N
"3122283","M000000872","10875","855","2080치약진지프로젝트","10","비식품",\N,\N,"228","구강용품","100g*2+1","8801046994412","3980",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/애경_애경-2080진지발란스허벌-140gx6_8801046994412.png""}],""main"":""1"",""priority"":""1""}]","N","#855#8801046994412#2080치약진지프로젝트#비식품#구강용품# 100g*2+1","A","5","5","N","5","5","2025-02-11 09:10:14","UA60498e774f77e","2025-02-11 09:10:14",\N,"N",\N,"N",\N
"3122271","M000000872","10875","1362","(엘지)플라워바이플로라","10","비식품",\N,\N,"247","세탁세제","1000ml","8801051267709","4980",\N,\N,\N,\N,\N,\N,\N,"[{""sv_key"":""sv1"",""items"":[{""key"":""thumb"",""value"":""https:\/\/s3.ap-northeast-2.amazonaws.com\/moa.images\/product\/barcode\/LG_LG-아우라-바이플로라-1L_8801051267709.png""}],""main"":""1"",""priority"":""1""}]","N","#1362#8801051267709#(엘지)플라워바이플로라#비식품#세탁세제# 1000ml","A","5","5","N","5","5","2025-02-11 09:09:29","UA60498e774f77e","2025-02-11 09:09:29",\N,"N",\N,"N",\N
